rank,russian_verb,transliteration,english_verb,russian_sentence,sentence_transliteration,english_sentence,category
29,давать,davat',to give (impf),Мама даёт ребёнку молоко каждый день.,Mama dayot rebyonku moloko kazhdyy den'.,Mom gives the child milk every day.,possession
30,ответить,otvetit',to answer,Он ответил на все мои вопросы.,On otvetil na vse moi voprosy.,He answered all my questions.,communication
31,считать,schitat',to consider/count,Я считаю это правильным решением.,Ya schitayu eto pravil'nym resheniyem.,I consider this the right decision.,cognition
32,помнить,pomnit',to remember,Я помню наш первый разговор.,Ya pomnyu nash pervyy razgovor.,I remember our first conversation.,cognition
33,начать,nachat',to begin,Мы начали работу в девять утра.,My nachali rabotu v devyat' utra.,We began work at nine in the morning.,change
34,решить,reshit',to decide/solve,Она решила переехать в другой город.,Ona reshila pereekhat' v drugoy gorod.,She decided to move to another city.,cognition
35,получить,poluchit',to receive,Я получил письмо от друга вчера.,Ya poluchil pis'mo ot druga vchera.,I received a letter from a friend yesterday.,possession
36,оказаться,okazat'sya,to turn out,Задача оказалась сложнее чем я думал.,Zadacha okazalas' slozhneye chem ya dumal.,The task turned out harder than I thought.,existence
37,ждать,zhdat',to wait,Мы ждём автобус уже двадцать минут.,My zhdyom avtobus uzhe dvadtsat' minut.,We have been waiting for the bus for twenty minutes.,state
38,понимать,ponimat',to understand (impf),Ты понимаешь о чём я говорю?,Ty ponimayesh' o chyom ya govoryu?,Do you understand what I am talking about?,cognition
39,оставить,ostavit',to leave behind,Он оставил записку на столе.,On ostavil zapisku na stole.,He left a note on the table.,action
40,называть,nazyvat',to call/name,Все называют его просто Саша.,Vse nazyvayut yego prosto Sasha.,Everyone just calls him Sasha.,communication
41,читать,chitat',to read,Она читает книгу перед сном.,Ona chitayet knigu pered snom.,She reads a book before bed.,cognition
42,уйти,uyti,to leave/go away,Он ушёл с работы раньше обычного.,On ushyol s raboty ran'she obychnogo.,He left work earlier than usual.,motion
43,просить,prosit',to ask/request,Я прошу тебя быть осторожнее.,Ya proshu tebya byt' ostorozhneye.,I ask you to be more careful.,communication
44,пойти,poyti,to set off/go,Давай пойдём в кино сегодня вечером.,Davay poydyom v kino segodnya vecherom.,Let's go to the movies this evening.,motion
45,бояться,boyat'sya,to be afraid,Она боится летать на самолёте.,Ona boitsya letat' na samolyote.,She is afraid of flying on a plane.,emotion
46,остаться,ostat'sya,to remain/stay,Я остался дома из-за дождя.,Ya ostalsya doma iz-za dozhdya.,I stayed home because of the rain.,state
47,положить,polozhit',to put/place,Положи книгу на полку пожалуйста.,Polozhi knigu na polku pozhaluysta.,Put the book on the shelf please.,action
48,вернуться,vernut'sya,to return,Она вернулась из отпуска в понедельник.,Ona vernulas' iz otpuska v ponedel'nik.,She returned from vacation on Monday.,motion
49,приходить,prikhodit',to come/arrive,Он приходит на работу вовремя каждый день.,On prikhodit na rabotu vovremya kazhdyy den'.,He comes to work on time every day.,motion
50,слышать,slyshat',to hear,Ты слышишь эту музыку за стеной?,Ty slyshish' etu muzyku za stenoy?,Do you hear that music behind the wall?,perception
51,входить,vkhodit',to enter,Не входите без стука пожалуйста.,Ne vkhodite bez stuka pozhaluysta.,Do not enter without knocking please.,motion
52,показать,pokazat',to show,Покажи мне фотографии с отпуска.,Pokazhi mne fotografii s otpuska.,Show me the photos from the vacation.,perception
53,лежать,lezhat',to lie (down),Кот лежит на диване весь день.,Kot lezhit na divane ves' den'.,The cat is lying on the sofa all day.,state
54,поставить,postavit',to put/set,Поставь чашку на стол аккуратно.,Postav' chashku na stol akkuratno.,Put the cup on the table carefully.,action
55,бежать,bezhat',to run,Дети бегут по парку после школы.,Deti begut po parku posle shkoly.,The children are running through the park after school.,motion
56,принять,prinyat',to accept/take,Он принял предложение о работе.,On prinyal predlozheniye o rabote.,He accepted the job offer.,social
57,уходить,ukhodit',to leave (impf),Она уходит из дома рано утром.,Ona ukhodit iz doma rano utrom.,She leaves home early in the morning.,motion
58,рассказать,rasskazat',to tell/narrate,Расскажи мне о своей поездке.,Rasskazhi mne o svoyey poyezdke.,Tell me about your trip.,communication
59,кончить,konchit',to finish,Мы кончили работу к пяти часам.,My konchili rabotu k pyati chasam.,We finished work by five o'clock.,change
60,приходиться,prikhodit'sya,to have to,"Мне приходится рано вставать на работу.","Mne prikhoditsya rano vstavat' na rabotu.",I have to get up early for work.,state
61,выходить,vykhodit',to go out (impf),Он выходит на прогулку каждый вечер.,On vykhodit na progulku kazhdyy vecher.,He goes out for a walk every evening.,motion
62,открыть,otkryt',to open,Открой окно — здесь очень жарко.,Otkroy okno — zdes' ochen' zharko.,Open the window — it is very hot here.,action
63,закрыть,zakryt',to close,Закрой дверь за собой пожалуйста.,Zakroy dver' za soboy pozhaluysta.,Close the door behind you please.,action
64,есть,yest',to eat,Мы едим обед в час дня.,My yedim obed v chas dnya.,We eat lunch at one in the afternoon.,action
65,пить,pit',to drink,Утром я пью кофе с молоком.,Utrom ya p'yu kofe s molokom.,In the morning I drink coffee with milk.,action
66,спать,spat',to sleep,Ребёнок спит в своей кроватке.,Rebyonok spit v svoyey krovatke.,The child is sleeping in his crib.,state
67,начинать,nachinat',to begin (impf),Занятия начинаются в девять утра.,Zanyatiya nachinayutsya v devyat' utra.,Classes begin at nine in the morning.,change
68,становиться,stanovit'sya,to become (impf),Погода становится теплее с каждым днём.,Pogoda stanovitsya tepleye s kazhdym dnyom.,The weather is getting warmer every day.,change
69,оставаться,ostavat'sya,to remain (impf),Он остаётся дома по выходным.,On ostayotsya doma po vykhodnym.,He stays home on weekends.,state
70,играть,igrat',to play,Дети играют во дворе после обеда.,Deti igrayut vo dvore posle obeda.,The children play in the yard after lunch.,action
71,принести,prinesti,to bring,Принеси мне тарелку из кухни.,Prinesi mne tarelku iz kukhni.,Bring me a plate from the kitchen.,motion
72,появиться,poyavit'sya,to appear,На небе появились первые звёзды.,Na nebe poyavilis' pervyye zvyozdy.,The first stars appeared in the sky.,existence
73,пойти,poyti,to go (pf),"Мы пошли в парк после завтрака.","My poshli v park posle zavtraka.",We went to the park after breakfast.,motion
74,стоить,stoit',to cost,Эта куртка стоит три тысячи рублей.,Eta kurtka stoit tri tysyachi rubley.,This jacket costs three thousand rubles.,possession
75,верить,verit',to believe,Я верю тебе и твоим словам.,Ya veryu tebe i tvoim slovam.,I believe you and your words.,cognition
76,звать,zvat',to call (by name),Как тебя зовут и откуда ты?,Kak tebya zovut i otkuda ty?,What is your name and where are you from?,communication
77,брать,brat',to take (impf),Он всегда берёт зонт с собой.,On vsegda beryot zont s soboy.,He always takes an umbrella with him.,action
78,ехать,yekhat',to go (by vehicle),Мы едем на работу на автобусе.,My yedim na rabotu na avtobuse.,We are going to work by bus.,motion
79,держать,derzhat',to hold,Она держит ребёнка за руку.,Ona derzhit rebyonka za ruku.,She is holding the child by the hand.,action
80,вести,vesti,to lead/drive,Она ведёт машину очень аккуратно.,Ona vedyot mashinu ochen' akkuratno.,She drives the car very carefully.,motion
81,объяснить,ob"yasnit',to explain,Учитель объяснил новую тему понятно.,Uchitel' ob"yasnil novuyu temu ponyatno.,The teacher explained the new topic clearly.,communication
82,падать,padat',to fall (impf),Листья падают с деревьев осенью.,List'ya padayut s derev'yev osen'yu.,Leaves fall from the trees in autumn.,motion
83,предложить,predlozhit',to suggest/offer,Он предложил мне чашку чая.,On predlozhil mne chashku chaya.,He offered me a cup of tea.,communication
84,нести,nesti,to carry,Он несёт тяжёлую сумку из магазина.,On nesyot tyazhyoluyu sumku iz magazina.,He is carrying a heavy bag from the store.,motion
85,учить,uchit',to teach/study,Она учит детей математике в школе.,Ona uchit detey matematike v shkole.,She teaches children math at school.,cognition
86,учиться,uchit'sya,to study/learn,Мой сын учится в университете.,Moy syn uchitsya v universitete.,My son studies at the university.,cognition
87,позвонить,pozvonit',to call (phone),Позвони мне когда доберёшься до дома.,Pozvoni mne kogda doberyosh'sya do doma.,Call me when you get home.,communication
88,петь,pet',to sing,Она красиво поёт русские народные песни.,Ona krasivo poyot russkiye narodnyye pesni.,She sings Russian folk songs beautifully.,creation
89,забыть,zabyt',to forget,Я забыл купить молоко в магазине.,Ya zabyl kupit' moloko v magazine.,I forgot to buy milk at the store.,cognition
90,пройти,proyti,to pass/go through,Мы прошли мимо парка по дороге.,My proshli mimo parka po doroge.,We passed by the park on the way.,motion
91,платить,platit',to pay,Я плачу за квартиру каждый месяц.,Ya plachu za kvartiru kazhdyy mesyats.,I pay for the apartment every month.,possession
92,встретить,vstretit',to meet,Я встретил старого друга на улице.,Ya vstretil starogo druga na ulitse.,I met an old friend on the street.,social
93,посмотреть,posmotret',to look/watch (pf),Посмотри на эту красивую картину.,Posmotri na etu krasivuyu kartinu.,Look at this beautiful painting.,perception
94,собираться,sobirat'sya,to intend/gather,Мы собираемся поехать на море летом.,My sobirayemsya poyekhat' na more letom.,We intend to go to the sea in summer.,cognition
95,покупать,pokupat',to buy (impf),Мама покупает овощи на рынке.,Mama pokupayет ovoshchi na rynke.,Mom buys vegetables at the market.,possession
96,заниматься,zanimat'sya,to be engaged in,Он занимается спортом каждый день.,On zanimayetsya sportom kazhdyy den'.,He does sports every day.,action
97,ходить,khodit',to walk (habitual),Мы ходим в театр раз в месяц.,My khodim v teatr raz v mesyats.,We go to the theater once a month.,motion
98,помочь,pomoch',to help (pf),Помоги мне донести эти сумки.,Pomogi mne donesti eti sumki.,Help me carry these bags.,social
99,бросить,brosit',to throw/quit,Он бросил курить два года назад.,On brosil kurit' dva goda nazad.,He quit smoking two years ago.,action
100,звонить,zvonit',to call (phone - impf),Она звонит маме каждый вечер.,Ona zvonit mame kazhdyy vecher.,She calls her mom every evening.,communication
101,готовить,gotovit',to cook/prepare,Папа готовит ужин на всю семью.,Papa gotovit uzhin na vsyu sem'yu.,Dad is cooking dinner for the whole family.,creation
102,продавать,prodavat',to sell (impf),Они продают свежие фрукты на рынке.,Oni prodayut svezhiye frukty na rynke.,They sell fresh fruit at the market.,possession
103,поднять,podnyat',to raise/lift,Он поднял коробку с пола.,On podnyal korobku s pola.,He lifted the box from the floor.,action
104,менять,menyat',to change (impf),Она меняет работу каждые два года.,Ona menyayet rabotu kazhdyye dva goda.,She changes jobs every two years.,change
105,строить,stroit',to build,Рабочие строят новый дом на нашей улице.,Rabochiye stroyat novyy dom na nashey ulitse.,Workers are building a new house on our street.,creation
106,лететь,letet',to fly,Самолёт летит из Москвы в Петербург.,Samolyot letit iz Moskvy v Peterburg.,The plane is flying from Moscow to Petersburg.,motion
107,плавать,plavat',to swim,Дети плавают в бассейне по субботам.,Deti plavayut v basseyne po subbotam.,The children swim in the pool on Saturdays.,motion
108,сесть,sest',to sit down,Садись за стол — обед уже готов.,Sadis' za stol — obed uzhe gotov.,Sit down at the table — lunch is ready.,motion
109,встать,vstat',to stand up/get up,Я встаю в шесть утра каждый день.,Ya vstayu v shest' utra kazhdyy den'.,I get up at six in the morning every day.,motion
110,послать,poslat',to send,Я послал посылку по почте вчера.,Ya poslal posylku po pochte vchera.,I sent the package by mail yesterday.,communication
111,надеяться,nadeyat'sya,to hope,Я надеюсь увидеть тебя на празднике.,Ya nadeyus' uvidet' tebya na prazdnike.,I hope to see you at the party.,emotion
112,бороться,borot'sya,to fight/struggle,Они борются за свои права.,Oni boryutsya za svoi prava.,They are fighting for their rights.,social
113,победить,pobedit',to win/defeat,Наша команда победила в финале.,Nasha komanda pobedila v finale.,Our team won in the final.,action
114,проиграть,proigrat',to lose (a game),Мы проиграли матч со счётом два-три.,My proigrali match so schyotom dva-tri.,We lost the match with a score of two to three.,action
115,создать,sozdat',to create,Он создал новую программу для компании.,On sozdal novuyu programmu dlya kompanii.,He created a new program for the company.,creation
116,уничтожить,unichtozhit',to destroy,Пожар уничтожил старое здание полностью.,Pozhar unichtozhil staroye zdaniye polnost'yu.,The fire destroyed the old building completely.,action
117,согласиться,soglasit'sya,to agree,Она согласилась помочь нам с проектом.,Ona soglasilas' pomoch' nam s proyektom.,She agreed to help us with the project.,social
118,отказаться,otkazat'sya,to refuse,Он отказался от приглашения на вечеринку.,On otkazalsya ot priglasheniya na vecherinku.,He refused the invitation to the party.,social
119,помогать,pomogat',to help (impf),Я всегда помогаю соседям с покупками.,Ya vsegda pomogayu sosedyam s pokupkami.,I always help the neighbors with shopping.,social
120,мешать,meshat',to interfere/bother,Шум с улицы мешает мне работать.,Shum s ulitsy meshayet mne rabotat'.,The noise from the street bothers me working.,social
121,служить,sluzhit',to serve,Он служил в армии три года.,On sluzhil v armii tri goda.,He served in the army for three years.,social
122,попросить,poprosit',to ask/request (pf),Я попросил коллегу помочь мне.,Ya poprosil kollegu pomoch' mne.,I asked a colleague to help me.,communication
123,происходить,proiskhodit',to happen/occur,Что здесь происходит в последнее время?,Chto zdes' proiskhodit v posledneye vremya?,What has been happening here lately?,existence
124,следить,sledit',to watch/follow,Мама следит за детьми в парке.,Mama sledit za det'mi v parke.,Mom watches the children in the park.,perception
125,почувствовать,pochuvstvovat',to feel (pf),Я почувствовал запах свежего хлеба.,Ya pochuvstvoval zapakh svezhego khleba.,I smelled the scent of fresh bread.,perception
126,поехать,poyekhat',to go (by vehicle - pf),Мы поехали на дачу в пятницу вечером.,My poyekhali na dachu v pyatnitsu vecherom.,We went to the dacha on Friday evening.,motion
127,продать,prodat',to sell (pf),Они продали старую квартиру и купили новую.,Oni prodali staruyu kvartiru i kupili novuyu.,They sold the old apartment and bought a new one.,possession
128,купить,kupit',to buy (pf),Я купил новый телефон на прошлой неделе.,Ya kupil novyy telefon na proshloy nedele.,I bought a new phone last week.,possession
129,лечь,lech',to lie down,Ляг и отдохни немного после работы.,Lyag i otdokhni nemnogo posle raboty.,Lie down and rest a bit after work.,motion
130,закончить,zakonchit',to finish (pf),Она закончила университет с отличием.,Ona zakonchila universitet s otlichiyem.,She graduated from the university with honors.,change
131,упасть,upast',to fall (pf),Ребёнок упал и ушиб колено.,Rebyonok upal i ushib koleno.,The child fell and hurt his knee.,motion
132,выходить,vykhodit',to come out (impf),"Журнал выходит раз в месяц.","Zhurnal vykhodit raz v mesyats.",The magazine comes out once a month.,existence
133,привести,privesti,to bring/lead (pf),Она привела подругу на вечеринку.,Ona privela podrugu na vecherinku.,She brought her friend to the party.,motion
134,представить,predstavit',to present/imagine,Представь себе жизнь без интернета.,Predstáv' sebe zhizn' bez interneta.,Imagine life without the internet.,cognition
135,относиться,otnosit'sya,to relate to/treat,Он хорошо относится к своим коллегам.,On khorosho otnositsya k svoim kollegam.,He treats his colleagues well.,social
136,вести,vesti,to conduct/lead,Он ведёт переговоры с партнёрами.,On vedyot peregovory s partnyorami.,He is conducting negotiations with partners.,social
137,приехать,priyekhat',to arrive (by vehicle),Гости приехали из Москвы вчера вечером.,Gosti priyekhali iz Moskvy vchera vecherom.,The guests arrived from Moscow yesterday evening.,motion
138,узнать,uznat',to find out/recognize,Я узнал эту новость из газеты.,Ya uznal etu novost' iz gazety.,I found out this news from the newspaper.,cognition
139,попасть,popast',to get into/hit,Мы попали в пробку на шоссе.,My popali v probku na shosse.,We got stuck in traffic on the highway.,motion
140,заметить,zametit',to notice,Я заметил ошибку в документе.,Ya zametil oshibku v dokumente.,I noticed a mistake in the document.,perception
141,выглядеть,vyglyadet',to look/appear,Ты сегодня очень хорошо выглядишь.,Ty segodnya ochen' khorosho vyglyadish'.,You look very good today.,perception
142,носить,nosit',to wear/carry,Она носит очки с десяти лет.,Ona nosit ochki s desyati let.,She has worn glasses since age ten.,action
143,успеть,uspet',to manage (in time),Я успел на последний автобус домой.,Ya uspel na posledniy avtobus domoy.,I made it to the last bus home.,action
144,попробовать,poprobovat',to try (pf),Попробуй этот суп — он очень вкусный.,Poprobuy etot sup — on ochen' vkusnyy.,Try this soup — it is very tasty.,action
145,чувствовать,chuvstvovat',to feel,Я чувствую себя хорошо после прогулки.,Ya chuvstvuyu sebya khorosho posle progulki.,I feel good after the walk.,perception
146,хватать,khvatat',to grab/suffice,Мне хватает денег до конца месяца.,Mne khvatayet deneg do kontsa mesyatsa.,I have enough money until the end of the month.,possession
147,ожидать,ozhidat',to expect/wait,Мы ожидаем гостей к шести вечера.,My ozhidayem gostey k shesti vechera.,We expect guests by six in the evening.,cognition
148,поверить,poverit',to believe (pf),Я не мог поверить своим глазам.,Ya ne mog poverit' svoim glazam.,I could not believe my eyes.,cognition
149,случиться,sluchit'sya,to happen (pf),Что случилось с тобой вчера вечером?,Chto sluchilos' s toboy vchera vecherom?,What happened to you yesterday evening?,existence
150,обещать,obeshchat',to promise,Он обещал вернуться до конца недели.,On obeshchal vernut'sya do kontsa nedeli.,He promised to return by the end of the week.,communication
151,рассматривать,rassmatrivat',to examine/consider,Мы рассматриваем разные варианты решения.,My rassmatrivayem raznyye varianty resheniya.,We are considering different solution options.,cognition
152,зависеть,zaviset',to depend,Результат зависит от нашей подготовки.,Rezul'tat zavisit ot nashey podgotovki.,The result depends on our preparation.,state
153,называться,nazyvat'sya,to be called,Эта улица называется Тверская.,Eta ulitsa nazyvayetsya Tverskaya.,This street is called Tverskaya.,existence
154,привыкнуть,privyknut',to get used to,Я привык вставать рано утром.,Ya privyk vstavat' rano utrom.,I got used to getting up early in the morning.,change
155,требовать,trebovat',to demand/require,Эта работа требует большого терпения.,Eta rabota trebuyet bol'shogo terpeniya.,This work requires great patience.,social
156,вспомнить,vspomnit',to recall (pf),Я вспомнил где оставил свои ключи.,Ya vspomnil gde ostavil svoi klyuchi.,I recalled where I left my keys.,cognition
157,переходить,perekhodit',to cross/switch,Переходите дорогу только на зелёный свет.,Perekhodite dorogu tol'ko na zelyonyy svet.,Cross the road only on a green light.,motion
158,дойти,doyti,to reach (on foot),Мы дошли до станции за десять минут.,My doshli do stantsii za desyat' minut.,We reached the station in ten minutes.,motion
159,искать,iskat',to search/look for,Я ищу свои очки уже полчаса.,Ya ishchu svoi ochki uzhe polchasa.,I have been looking for my glasses for half an hour.,action
160,спрашивать,sprashivat',to ask (impf),Студенты часто спрашивают о домашнем задании.,Studenty chasto sprashivayut o domashnem zadanii.,Students often ask about homework.,communication
161,значить,znachit',to mean,Что значит это слово по-русски?,Chto znachit eto slovo po-russki?,What does this word mean in Russian?,cognition
162,прийти,priyti,to come/arrive (pf),Она пришла на встречу вовремя.,Ona prishla na vstrechu vovremya.,She came to the meeting on time.,motion
163,признать,priznat',to acknowledge/admit,Он признал свою ошибку перед коллегами.,On priznal svoyu oshibku pered kollegami.,He admitted his mistake in front of colleagues.,communication
164,использовать,ispol'zovat',to use,"Мы используем эту программу каждый день.","My ispol'zuyem etu programmu kazhdyy den'.",We use this program every day.,action
165,обратиться,obratit'sya,to turn to/apply,Обратитесь к врачу если будет хуже.,Obratites' k vrachu yesli budet khuzhe.,See a doctor if it gets worse.,social
166,уметь,umet',to know how to,Она умеет хорошо готовить итальянскую кухню.,Ona umeyet khorosho gotovit' ital'yanskuyu kukhnyu.,She knows how to cook Italian food well.,cognition
167,думаться,dumat'sya,to seem/think (impers),Мне думается что это правильный выбор.,Mne dumayetsya chto eto pravil'nyy vybor.,It seems to me this is the right choice.,cognition
168,занять,zanyat',to occupy/borrow,Дорога заняла у нас два часа.,Doroga zanyala u nas dva chasa.,The trip took us two hours.,action
169,перейти,pereyti,to cross (pf),Мы перешли улицу на светофоре.,My pereshli ulitsu na svetofore.,We crossed the street at the traffic light.,motion
170,проходить,prokhodit',to pass (impf),Мы проходим мимо этого здания каждый день.,My prokhodim mimo etogo zdaniya kazhdyy den'.,We pass by this building every day.,motion
171,нравиться,nravit'sya,to like (be pleasing),Мне нравится твоя новая причёска.,Mne nravitsya tvoya novaya prichyoska.,I like your new hairstyle.,emotion
172,вызвать,vyzvat',to call/summon,Мы вызвали такси до аэропорта.,My vyzvali taksi do aeroporta.,We called a taxi to the airport.,communication
173,убить,ubit',to kill,Мороз убил все цветы в саду.,Moroz ubil vse tsvety v sadu.,The frost killed all the flowers in the garden.,action
174,ставить,stavit',to put/place (impf),Она ставит цветы в вазу на столе.,Ona stavit tsvety v vazu na stole.,She puts flowers in a vase on the table.,action
175,заходить,zakhodit',to drop by/enter,Заходи к нам в гости на чай.,Zakhodi k nam v gosti na chay.,Come visit us for tea.,motion
176,водить,vodit',to drive/lead (impf),Он водит машину уже десять лет.,On vodit mashinu uzhe desyat' let.,He has been driving a car for ten years.,motion
177,разговаривать,razgovarivat',to talk/converse,Они разговаривают по телефону каждый вечер.,Oni razgovarivayut po telefonu kazhdyy vecher.,They talk on the phone every evening.,communication
178,поставить,postavit',to put/set (pf),Он поставил машину в гараж.,On postavil mashinu v garazh.,He put the car in the garage.,action
179,приготовить,prigotovit',to prepare/cook (pf),Она приготовила вкусный ужин для семьи.,Ona prigotovila vkusnyy uzhin dlya sem'i.,She prepared a delicious dinner for the family.,creation
180,передать,peredat',to pass/hand over,Передай мне соль пожалуйста.,Pereday mne sol' pozhaluysta.,Pass me the salt please.,action
181,обнаружить,obnaruzhit',to discover/detect,Врач обнаружил проблему при осмотре.,Vrach obnaruzhil problemu pri osmotre.,The doctor discovered a problem during the exam.,perception
182,терять,teryat',to lose (impf),Он постоянно теряет свои вещи.,On postoyanno teryayet svoi veshchi.,He constantly loses his things.,possession
183,потерять,poteryat',to lose (pf),Я потерял кошелёк в автобусе вчера.,Ya poteryal koshelyok v avtobuse vchera.,I lost my wallet on the bus yesterday.,possession
184,выпить,vypit',to drink (pf),Давай выпьем по чашке кофе.,Davay vyp'yem po chashke kofe.,Let's have a cup of coffee each.,action
185,связать,svyazat',to connect/tie,Он связал два куска верёвки вместе.,On svyazal dva kuska veryovki vmeste.,He tied two pieces of rope together.,action
186,предлагать,predlagat',to offer/suggest (impf),Я предлагаю обсудить это завтра утром.,Ya predlagayu obsudit' eto zavtra utrom.,I suggest we discuss this tomorrow morning.,communication
187,являться,yavlyat'sya,to be/appear,Он является директором этой компании.,On yavlyayetsya direktorom etoy kompanii.,He is the director of this company.,existence
188,слушать,slushat',to listen,Слушай внимательно что говорит учитель.,Slushay vnimatel'no chto govorit uchitel'.,Listen carefully to what the teacher says.,perception
189,ходить,khodit',to attend/go regularly,Она ходит на курсы английского языка.,Ona khodit na kursy angliyskogo yazyka.,She attends English language courses.,motion
190,поддержать,podderzhat',to support (pf),Друзья поддержали меня в трудный момент.,Druz'ya podderzhali menya v trudnyy moment.,Friends supported me in a difficult moment.,social
191,согласен,soglasen,to agree (short adj),Я полностью согласен с вашим мнением.,Ya polnost'yu soglasen s vashim mneniyem.,I completely agree with your opinion.,social
192,бывать,byvat',to be (occasionally),Мы бываем в этом кафе каждую пятницу.,My byvayem v etom kafe kazhduyu pyatnitsu.,We are at this cafe every Friday.,existence
193,включить,vklyuchit',to turn on/include,Включи свет в комнате пожалуйста.,Vklyuchi svet v komnate pozhaluysta.,Turn on the light in the room please.,action
194,выключить,vyklyuchit',to turn off,Выключи телевизор перед сном.,Vyklyuchi televizor pered snom.,Turn off the TV before bed.,action
195,решать,reshat',to decide/solve (impf),Мы решаем эту задачу вместе.,My reshayem etu zadachu vmeste.,We are solving this problem together.,cognition
196,приносить,prinosit',to bring (impf),Почтальон приносит почту каждое утро.,Pochtal'on prinosit pochtu kazhdoye utro.,The mailman brings mail every morning.,motion
197,заказать,zakazat',to order (pf),Я заказал пиццу с доставкой на дом.,Ya zakazal pitstsu s dostavkoy na dom.,I ordered pizza with home delivery.,social
198,переехать,pereekhat',to move (residence pf),Мы переехали в новую квартиру на прошлой неделе.,My pereyekhali v novuyu kvartiru na proshloy nedele.,We moved to a new apartment last week.,motion
199,обратить,obratit',to turn/direct,Обрати внимание на этот важный пункт.,Obrati vnimaniye na etot vazhnyy punkt.,Pay attention to this important point.,cognition
200,повторить,povtorit',to repeat (pf),Повторите пожалуйста — я не расслышал.,Povtorite pozhaluysta — ya ne rassyshal.,Please repeat — I did not hear well.,communication
201,заявить,zayavit',to declare/state,Он заявил о своём решении уйти.,On zayavil o svoyom reshenii uyti.,He declared his decision to leave.,communication
202,вырасти,vyrasti,to grow up (pf),Он вырос в маленьком городе на юге.,On vyros v malen'kom gorode na yuge.,He grew up in a small town in the south.,change
203,провести,provesti,to spend (time)/conduct,Мы провели отпуск на берегу моря.,My proveli otpusk na beregu morya.,We spent the vacation on the seashore.,action
